N-gram,Frequency
"('job',)",7086
"('issue',)",3143
"('completed',)",3069
"('successfully',)",2551
"('due',)",2242
"('failed',)",1776
"('got',)",1420
"('re-run',)",1414
"('file',)",1251
"('source',)",1045
"('fixed',)",971
"('manually',)",648
"('restarted',)",620
"('rerun',)",607
"('abended',)",597
"('re-started',)",577
"('brj',)",507
"('running',)",504
"('available',)",435
"('query',)",433
"('duplicate',)",423
"('data',)",421
"('self-lock',)",406
"('killed',)",398
"('executed',)",384
"('time',)",365
"('re-executed',)",342
"('connectivity',)",301
"('error',)",281
"('team',)",272
"('tbload',)",272
"('occurred',)",249
"('td',)",247
"('unavailability',)",236
"('lock',)",236
"('end',)",234
"('jobs',)",233
"('batch',)",229
"('run',)",228
"('back',)",228
"('successful',)",214
"('fix',)",196
"('cancelled',)",188
"('day',)",185
"('database',)",176
"('resolved',)",176
"('occured',)",174
"('tdata',)",153
"('login',)",146
"('self',)",142
"('triggered',)",141
"('success',)",141
"('closed',)",141
"('pipe',)",139
"('script',)",138
"('tods',)",137
"(""'s"",)",135
"('wrongly',)",131
"('upgrade',)",129
"('records',)",128
"('re-running',)",125
"('started',)",124
"('issues',)",123
"('released',)",120
"('connection',)",117
"('hence',)",115
"('later',)",113
"('server',)",106
"('ran',)",104
"('reprocessed',)",103
"('outage',)",101
"('files',)",99
"('invalid',)",98
"('count',)",92
"('log',)",91
"('queue',)",88
"('process',)",80
"('receiving',)",79
"('updated',)",79
"('path',)",77
"('previous',)",77
"('error.we',)",76
"('schedule',)",76
"('backend',)",72
"('named-pipe',)",66
"('received',)",64
"('.we',)",64
"('failure',)",64
"('scheduler',)",64
"('stream',)",63
"('mismatch',)",58
"('null',)",58
"('compelted',)",58
"('console',)",58
"('deleteing',)",57
"('duplicates',)",57
"('space',)",55
"('happened',)",54
"('state',)",54
"('environment',)",54
"('liaising',)",52
"('hold',)",51
"('load',)",50
"('processed',)",49
"('name',)",48
"('placed',)",48
"('table',)",47
"('format',)",46
"('timeout',)",46
"(""n't"",)",45
"('marked',)",43
"('weekend',)",43
"('value',)",42
"('requested',)",40
"('kept',)",40
"('bw',)",40
"('dev',)",40
"('dba',)",39
"('extraction',)",39
"('place',)",38
"('liasing',)",38
"('triggering',)",38
"('provided',)",37
"('re-executing',)",37
"('successfull',)",36
"('crm',)",36
"('named',)",34
"('confirmed',)",34
"('releasing',)",33
"('status',)",32
"('corrected',)",32
"('active',)",32
"('entry',)",31
"('release',)",31
"('stuck',)",31
"('instance',)",30
"('stats',)",29
"('spool',)",29
"('db',)",29
"('held',)",28
"('deadline',)",27
"('aborted',)",27
"('i.e',)",27
"('incident',)",26
"('sucecssfully',)",25
"('re-ran',)",25
"('issue.we',)",25
"('connecitivity',)",24
"('today',)",24
"('solved',)",24
"('along',)",24
"('row',)",23
"('trigger',)",23
"('session',)",23
"('get',)",23
"('long',)",22
"('oracle',)",22
"('duplicates/null',)",22
"('moved',)",22
"('reexecuted',)",21
"('oraacle',)",21
"('trigerred',)",21
"('issue.on',)",21
"('manaully',)",21
"('values/invalid',)",20
"('log-in',)",20
"('update',)",20
"('fixe',)",20
"('hadoop',)",19
"('box',)",19
"('reduced',)",19
"('hanged',)",19
"('removed',)",19
"('cleared',)",19
"('restart',)",19
"('next',)",18
"('locked',)",18
"('closing',)",18
"('time-out',)",17
"('delay',)",17
"('reraun',)",17
"('ods',)",16
"('placing',)",16
"('collect',)",16
"('avaialble',)",16
"('timed',)",16
"('succesfully',)",16
"('still',)",16
"('manual',)",16
"('clear',)",16
"('deleting',)",15
"('support',)",15
"('date',)",15
"('piped',)",15
"('values',)",14
"('re-execution',)",14
"('incorrect',)",14
"('warranty',)",14
"('progressing',)",14
"('ftp',)",14
"('done',)",13
"('tbload.it',)",13
"('bee',)",13
"('reached',)",13
"('ems',)",13
"('alert',)",12
"('r',)",12
"('successfulll',)",12
"('arrival',)",12
"('incorrectly',)",12
"('wnash',)",12
"('access',)",12
"('updating',)",12
"('overrunning',)",12
"('audit',)",12
"('transfer',)",12
"('schedules',)",11
"('days',)",11
"('provide',)",11
"('f',)",11
"('issue.it',)",11
"('query.we',)",11
"('changed',)",11
"('deleted',)",11
"('unavailability.this',)",11
"('recieved',)",11
"('validation',)",11
"('rerunning',)",10
"('falied',)",10
"('succcessfully',)",10
"('availability',)",10
"('since',)",10
"('re-processed',)",10
"('raised',)",10
"('.this',)",10
"('customer',)",10
"('issue.didnt',)",10
"('brj.re-executed',)",10
"('put',)",10
"('avoid',)",10
"('completion',)",10
"('required',)",10
"('ans',)",10
"('didnt',)",9
"('re-',)",9
"('issuee',)",9
"('contacted',)",9
"('late',)",9
"('target',)",9
"('arrived',)",9
"('volume',)",9
"('disabled',)",9
"('request',)",9
"('another',)",9
"('datafix',)",9
"('unavailaibilty',)",9
"('base',)",9
