Word,Frequency,2-gram,2-gram freq,3-gram,3-gram freq,4-gram,4-gram freq
job,7087,"('job', 'got')",1357,"('job', 'got', 'failed')",1028,"('job', 'got', 'failed', 'due')",978
job,7087,"('.', 'job')",1334,"('job', 'completed', 'successfully')",881,"('.', 'issue', 'fixed', 'job')",841
job,7087,"('job', 'completed')",1163,"('issue', 'fixed', 'job')",855,"('job', 'completed', 'successfully', '.')",652
job,7087,"('fixed', 'job')",878,"('issue', '.', 'job')",414,"('job', 'restarted', 'completed', 'successfully')",380
job,7087,"('job', 're-started')",566,"('job', 'restarted', 'completed')",399,"('issue', 'fixed', 'job', 'restarted')",359
job,7087,"('job', 'restarted')",554,"('fixed', 'job', 'restarted')",363,"('issue', 'fixed', 'job', 're-started')",340
job,7087,"('job', 're-run')",499,"('job', 'failed', 'due')",356,"('.', 'job', 'killed', 'completed')",322
job,7087,"('job', 'abended')",486,"('job', 're-started', '.')",356,"('job', 'killed', 'completed', 'running')",316
job,7087,"('job', 'failed')",429,"('job', 'abended', 'due')",355,"('re-run', 'job', 'completed', 'successfully')",309
job,7087,"('job', 'killed')",362,"('fixed', 'job', 're-started')",350,"('fixed', 'job', 're-started', '.')",296
issue,3143,"('issue', '.')",1315,"('.', 'issue', 'fixed')",855,"('.', 'issue', 'fixed', 'job')",841
issue,3143,"('issue', 'fixed')",902,"('issue', 'fixed', 'job')",855,"('issue', '.', 'issue', 'fixed')",632
issue,3143,"('.', 'issue')",893,"('issue', '.', 'issue')",663,"('issue', 'fixed', 'job', 'restarted')",359
issue,3143,"('issue', ',')",318,"('issue', '.', 'job')",414,"('issue', 'fixed', 'job', 're-started')",340
issue,3143,"('connectivity', 'issue')",300,"('connectivity', 'issue', '.')",274,"('duplicate', 'issue', '.', 'issue')",192
issue,3143,"('duplicate', 'issue')",267,"('duplicate', 'issue', '.')",216,"('failed', 'due', 'connectivity', 'issue')",188
issue,3143,"('brj', 'issue')",213,"('due', 'connectivity', 'issue')",200,"('due', 'connectivity', 'issue', '.')",188
issue,3143,"('file', 'issue')",165,"('due', 'duplicate', 'issue')",168,"('connectivity', 'issue', '.', 'job')",187
issue,3143,"('data', 'issue')",164,"('data', 'issue', '.')",149,"('due', 'duplicate', 'issue', '.')",163
issue,3143,"('issue', 'resolved')",148,"('brj', 'issue', '.')",147,"('data', 'issue', '.', 'issue')",143
completed,3069,"('completed', 'successfully')",1996,"('completed', 'successfully', '.')",1548,"('job', 'completed', 'successfully', '.')",652
completed,3069,"('job', 'completed')",1163,"('job', 'completed', 'successfully')",881,"('job', 'restarted', 'completed', 'successfully')",380
completed,3069,"('restarted', 'completed')",404,"('job', 'restarted', 'completed')",399,"('completed', 'running', 'query', 'manually')",374
completed,3069,"('completed', 'running')",385,"('restarted', 'completed', 'successfully')",384,"('restarted', 'completed', 'successfully', '.')",357
completed,3069,"('killed', 'completed')",322,"('completed', 'running', 'query')",380,"('.', 'job', 'killed', 'completed')",322
completed,3069,"('completed', 're-run')",181,"('job', 'killed', 'completed')",322,"('job', 'killed', 'completed', 'running')",316
completed,3069,"('got', 'completed')",179,"('re-run', 'job', 'completed')",316,"('killed', 'completed', 'running', 'query')",316
completed,3069,"('re-executed', 'completed')",124,"('killed', 'completed', 'running')",316,"('re-run', 'job', 'completed', 'successfully')",309
completed,3069,"('re-started', 'completed')",109,"('.', 'job', 'completed')",183,"('fixed', 'job', 'restarted', 'completed')",292
completed,3069,"('re-run', 'completed')",106,"('got', 'completed', 'successfully')",169,"('job', 'got', 'completed', 'successfully')",131
successfully,2551,"('completed', 'successfully')",1996,"('completed', 'successfully', '.')",1548,"('job', 'completed', 'successfully', '.')",652
successfully,2551,"('successfully', '.')",1760,"('job', 'completed', 'successfully')",881,"('job', 'restarted', 'completed', 'successfully')",380
successfully,2551,"('executed', 'successfully')",236,"('restarted', 'completed', 'successfully')",384,"('restarted', 'completed', 'successfully', '.')",357
successfully,2551,"('successfully', 're-run')",178,"('job', 'executed', 'successfully')",213,"('re-run', 'job', 'completed', 'successfully')",309
successfully,2551,"('successfully', 'back')",170,"('successfully', 'back', 'end')",170,"('successfully', 'back', 'end', '.')",170
successfully,2551,"('re-run', 'successfully')",164,"('got', 'completed', 'successfully')",169,"('executed', 'successfully', 'back', 'end')",160
successfully,2551,"('ran', 'successfully')",76,"('executed', 'successfully', 'back')",160,"('job', 'executed', 'successfully', 'back')",159
successfully,2551,"('job', 'successfully')",45,"('re-run', 'successfully', '.')",134,"('job', 'got', 'completed', 'successfully')",131
successfully,2551,"('successfully', 'rerun')",39,"('re-executed', 'completed', 'successfully')",114,"('got', 'completed', 'successfully', '.')",128
successfully,2551,"('successfully', 're-executing')",36,"('job', 're-run', 'successfully')",107,"('rerun', 'job', 'completed', 'successfully')",113
due,2242,"('failed', 'due')",1577,"('got', 'failed', 'due')",981,"('job', 'got', 'failed', 'due')",978
due,2242,"('abended', 'due')",411,"('job', 'failed', 'due')",356,"('failed', 'due', 'connectivity', 'issue')",188
due,2242,"('due', 'duplicate')",318,"('job', 'abended', 'due')",355,"('due', 'connectivity', 'issue', '.')",188
due,2242,"('due', 'connectivity')",200,"('failed', 'due', 'duplicate')",200,"('got', 'failed', 'due', 'connectivity')",181
due,2242,"('due', 'file')",199,"('due', 'connectivity', 'issue')",200,"('due', 'duplicate', 'issue', '.')",163
due,2242,"('due', 'brj')",175,"('failed', 'due', 'connectivity')",188,"('due', 'file', 'unavailability', '.')",161
due,2242,"('due', 'data')",144,"('failed', 'due', 'file')",174,"('failed', 'due', 'file', 'unavailability')",153
due,2242,"('due', 'database')",127,"('due', 'file', 'unavailability')",173,"('got', 'failed', 'due', 'file')",147
due,2242,"('due', 'tdata')",109,"('due', 'duplicate', 'issue')",168,"('failed', 'due', 'duplicate', 'issue')",136
due,2242,"('due', 'log')",90,"('abended', 'due', 'duplicate')",117,"('got', 'failed', 'due', 'duplicate')",129
failed,1776,"('failed', 'due')",1577,"('job', 'got', 'failed')",1028,"('job', 'got', 'failed', 'due')",978
failed,1776,"('got', 'failed')",1031,"('got', 'failed', 'due')",981,"('failed', 'due', 'connectivity', 'issue')",188
failed,1776,"('job', 'failed')",429,"('job', 'failed', 'due')",356,"('got', 'failed', 'due', 'connectivity')",181
failed,1776,"('failed', ',')",45,"('failed', 'due', 'duplicate')",200,"('failed', 'due', 'file', 'unavailability')",153
failed,1776,"('jobs', 'failed')",42,"('failed', 'due', 'connectivity')",188,"('got', 'failed', 'due', 'file')",147
failed,1776,"('failed', '.')",41,"('failed', 'due', 'file')",174,"('failed', 'due', 'duplicate', 'issue')",136
failed,1776,"('console', 'failed')",30,"('failed', 'due', 'tdata')",109,"('got', 'failed', 'due', 'duplicate')",129
failed,1776,"('brj', 'failed')",21,"('failed', 'due', 'data')",98,"('got', 'failed', 'due', 'tdata')",108
failed,1776,"('failed', 'brj')",18,"('failed', 'due', 'log')",89,"('got', 'failed', 'due', 'data')",97
failed,1776,"('failed', 'update')",11,"('failed', 'due', 'brj')",88,"('job', 'failed', 'due', 'log')",89
got,1420,"('job', 'got')",1357,"('job', 'got', 'failed')",1028,"('job', 'got', 'failed', 'due')",978
got,1420,"('got', 'failed')",1031,"('got', 'failed', 'due')",981,"('got', 'failed', 'due', 'connectivity')",181
got,1420,"('got', 'completed')",179,"('got', 'completed', 'successfully')",169,"('got', 'failed', 'due', 'file')",147
got,1420,"('got', 'abended')",111,"('job', 'got', 'completed')",139,"('job', 'got', 'completed', 'successfully')",131
got,1420,"(',', 'got')",24,"('job', 'got', 'abended')",111,"('got', 'failed', 'due', 'duplicate')",129
got,1420,"('got', 'executed')",23,"('re-running', 'job', 'got')",81,"('got', 'completed', 'successfully', '.')",128
got,1420,"('got', 'trigerred')",21,"('got', 'abended', 'due')",56,"('got', 'failed', 'due', 'tdata')",108
got,1420,"('got', 'falied')",10,"('got', 'abended', 'pipe')",55,"('got', 'failed', 'due', 'data')",97
got,1420,"('got', 'hanged')",10,"('got', 'failed', ',')",39,"('re-running', 'job', 'got', 'completed')",81
got,1420,"('restarted', 'got')",7,"('issue', 'job', 'got')",26,"('job', 'got', 'abended', 'due')",56
re-run,1415,"('job', 're-run')",499,"('re-run', 'job', 'completed')",316,"('re-run', 'job', 'completed', 'successfully')",309
re-run,1415,"('re-run', 'job')",334,"('.', 'job', 're-run')",305,"('available', '.', 'job', 're-run')",150
re-run,1415,"('completed', 're-run')",181,"('re-run', 'successfully', '.')",134,"('.', 'job', 're-run', 'completed')",93
re-run,1415,"('successfully', 're-run')",178,"('job', 're-run', 'successfully')",107,"('job', 're-run', 'successfully', '.')",88
re-run,1415,"('re-run', 'successfully')",164,"('job', 're-run', 'completed')",93,"('job', 're-run', 'issue', 'resolved')",86
re-run,1415,"('re-run', '.')",161,"('successfully', 're-run', '.')",91,"('re-run', 'issue', 'resolved', '.')",86
re-run,1415,"('re-run', 'completed')",106,"('job', 're-run', 'issue')",91,"('issue', '.', 'job', 're-run')",83
re-run,1415,"('re-run', 'issue')",91,"('re-run', 'issue', 'resolved')",86,"('issue', 'job', 're-run', 'issue')",80
re-run,1415,"('re-run', 'file')",79,"('completed', 'successfully', 're-run')",85,"('job', 're-run', 'completed', 'file')",79
re-run,1415,"('.', 're-run')",73,"('.', 'completed', 're-run')",83,"('re-run', 'completed', 'file', 'available')",78
file,1251,"('source', 'file')",585,"('file', 'available', '.')",353,"('source', 'file', 'available', '.')",200
file,1251,"('file', 'available')",395,"('source', 'file', 'available')",229,"('due', 'file', 'unavailability', '.')",161
file,1251,"('file', 'unavailability')",212,"('failed', 'due', 'file')",174,"('failed', 'due', 'file', 'unavailability')",153
file,1251,"('due', 'file')",199,"('due', 'file', 'unavailability')",173,"('file', 'available', '.', 'job')",151
file,1251,"('file', 'issue')",165,"('file', 'unavailability', '.')",171,"('got', 'failed', 'due', 'file')",147
file,1251,"('file', '.')",121,"('source', 'file', 'issue')",138,"('source', 'file', 'issue', '.')",85
file,1251,"('completed', 'file')",89,"('file', 'issue', '.')",86,"('completed', 'file', 'available', '.')",82
file,1251,"('re-run', 'file')",79,"('completed', 'file', 'available')",85,"('job', 're-run', 'completed', 'file')",79
file,1251,"('queue', 'file')",55,"('re-run', 'completed', 'file')",79,"('re-run', 'completed', 'file', 'available')",78
file,1251,"('file', 'placed')",42,"('job', 're-run', 'file')",78,"('.', 'job', 're-run', 'file')",76
source,1045,"('source', 'file')",585,"('source', 'file', 'available')",229,"('source', 'file', 'available', '.')",200
source,1045,"('source', 'team')",108,"('source', 'file', 'issue')",138,"('source', 'file', 'issue', '.')",85
source,1045,"('source', 'issue')",80,"('source', 'issue', 'job')",74,"('source', 'issue', 'job', 're-run')",74
source,1045,"('due', 'source')",78,"('job', 'abended', 'source')",61,"('.', 'requested', 'source', 'team')",37
source,1045,"('abended', 'source')",61,"('failed', 'due', 'source')",47,"('requested', 'source', 'team', 'place')",36
source,1045,"('source', 'files')",44,"('source', 'file', '.')",46,"('job', 'abended', 'source', 'file')",33
source,1045,"('source', 'path')",43,"('source', 'path', '.')",42,"('failed', 'due', 'crm', 'source')",27
source,1045,"('requested', 'source')",37,"('source', 'file', 'unavailability')",38,"('source', 'file', 'unavailability', ',')",25
source,1045,"('source', 'database')",36,"('.', 'requested', 'source')",37,"('source', 'file', 'issue', ',')",25
source,1045,"('issue', 'source')",36,"('requested', 'source', 'team')",37,"('job', 'abended', 'oraacle', 'source')",21
